t_ms,phase_idx,phase,frame_seq,dx,dy,body_fw,body_left,pos_fw,pos_left,confidence,imu_x_mg,imu_y_mg,imu_z_mg
15087,5,MOVE_BACK,2181,0,0,0,0,7,0,248,0,0,0
15131,5,MOVE_BACK,2182,0,0,0,0,7,0,248,0,0,0
15178,5,MOVE_BACK,2183,0,0,0,0,7,0,248,0,0,0
15226,5,MOVE_BACK,2184,0,0,0,0,7,0,248,0,0,0
15266,5,MOVE_BACK,2185,0,0,0,0,7,0,248,0,0,0
15306,5,MOVE_BACK,2186,0,0,0,0,7,0,248,0,0,0
15346,5,MOVE_BACK,2187,0,0,0,0,7,0,248,0,0,0
15387,5,MOVE_BACK,2188,0,0,0,0,7,0,248,0,0,0
15427,5,MOVE_BACK,2189,0,0,0,0,7,0,248,0,0,0
15467,5,MOVE_BACK,2190,0,0,0,0,7,0,244,0,0,0
15508,5,MOVE_BACK,2191,0,0,0,0,7,0,248,0,0,0
15550,5,MOVE_BACK,2192,0,0,0,0,7,0,244,0,0,0
15592,5,MOVE_BACK,2193,0,0,0,0,7,0,248,0,0,0
15641,5,MOVE_BACK,2194,0,0,0,0,7,0,248,0,0,0
15686,5,MOVE_BACK,2195,0,0,0,0,7,0,248,0,0,0
15726,5,MOVE_BACK,2196,0,0,0,0,7,0,248,0,0,0
15766,5,MOVE_BACK,2197,0,0,0,0,7,0,248,0,0,0
15806,5,MOVE_BACK,2198,-1,0,1,0,8,0,248,0,0,0
15847,5,MOVE_BACK,2199,0,0,0,0,8,0,248,0,0,0
15887,5,MOVE_BACK,2200,0,0,0,0,8,0,248,0,0,0
15928,5,MOVE_BACK,2201,0,0,0,0,8,0,248,0,0,0
15985,5,MOVE_BACK,2202,0,0,0,0,8,0,248,0,0,0
16027,5,MOVE_BACK,2203,0,0,0,0,8,0,248,0,0,0
16070,5,MOVE_BACK,2204,0,0,0,0,8,0,248,0,0,0
16118,5,MOVE_BACK,2205,0,0,0,0,8,0,248,0,0,0
16173,5,MOVE_BACK,2206,0,0,0,0,8,0,248,0,0,0
16221,5,MOVE_BACK,2207,0,0,0,0,8,0,248,0,0,0
16268,5,MOVE_BACK,2208,0,0,0,0,8,0,248,0,0,0
16309,5,MOVE_BACK,2209,0,0,0,0,8,0,248,0,0,0
16352,5,MOVE_BACK,2210,0,0,0,0,8,0,252,0,0,0
16403,5,MOVE_BACK,2211,0,0,0,0,8,0,248,0,0,0
16446,5,MOVE_BACK,2212,0,0,0,0,8,0,248,0,0,0
16486,5,MOVE_BACK,2213,0,0,0,0,8,0,248,0,0,0
