iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
184	4	16	758	108	246	-42	96	200	-158	38	6	70	195	146	298	600
185	4	16	766	108	247	-42	97	200	-168	-61	17	71	197	146	298	603
186	4	16	750	109	247	-41	97	200	-154	-14	18	71	197	147	297	606
187	4	16	750	109	246	-41	96	200	-164	-92	40	71	196	147	297	609
188	4	16	766	108	246	-42	96	200	-178	13	13	71	196	146	297	612
189	4	16	766	109	246	-41	96	200	-154	-76	19	71	195	147	297	614
190	4	16	773	109	246	-41	96	200	-164	-18	21	71	195	147	297	617
191	4	16	766	109	246	-41	96	200	-164	-87	35	71	195	147	297	620
192	4	16	758	109	246	-41	96	200	-164	48	3	71	195	148	297	622
193	4	16	750	110	246	-40	96	200	-150	-85	11	72	195	148	297	625
194	4	16	773	110	246	-40	96	200	-160	-55	37	72	195	148	298	627
195	4	16	785	109	246	-41	96	200	-174	19	36	72	195	147	298	629
196	4	16	742	109	246	-41	96	200	-164	136	75	72	195	147	298	632
197	4	16	773	109	247	-41	97	200	-164	-9	60	72	196	147	298	635
198	4	16	742	109	247	-41	97	200	-164	-93	-1	72	197	146	298	637
199	4	16	742	109	247	-41	97	200	-164	-16	4	72	197	146	298	640
200	4	16	766	108	248	-42	98	200	-178	11	14	72	199	145	298	642
201	4	16	766	109	248	-41	98	200	-154	-45	22	72	198	146	298	645
202	4	16	750	109	248	-41	98	200	-164	-23	14	72	199	146	298	647
203	4	16	766	109	248	-41	98	200	-164	139	3	72	198	146	298	650
204	4	16	742	108	247	-42	97	200	-178	13	3	71	198	146	297	653
205	4	16	734	108	248	-42	98	200	-168	-92	16	71	199	146	297	655
206	4	16	742	108	248	-42	98	200	-168	-85	29	71	199	145	298	658
207	4	16	758	108	248	-42	98	200	-168	16	20	71	199	145	298	661
208	4	16	766	107	249	-43	99	200	-182	79	-3	70	200	144	298	664
209	4	16	766	107	249	-43	99	200	-172	8	6	70	200	144	298	667
210	4	16	750	107	249	-43	99	200	-172	12	8	70	200	144	298	670
211	4	16	766	107	249	-43	99	200	-172	-35	7	70	200	144	298	672
212	4	16	766	107	249	-43	99	200	-172	-12	13	70	200	145	298	675
213	4	16	773	107	248	-43	98	200	-172	-6	16	70	200	144	297	678
214	4	16	766	107	248	-43	98	200	-172	-51	21	70	200	144	297	681
215	4	16	785	107	248	-43	98	200	-172	20	9	70	200	144	297	684
216	4	16	789	107	249	-43	99	200	-172	-10	16	70	200	144	298	686
217	4	16	797	107	249	-43	99	200	-172	24	14	70	200	144	298	689
218	4	16	789	107	249	-43	99	200	-172	-11	11	70	201	144	298	692
219	4	16	773	107	250	-43	100	200	-172	-24	21	70	201	144	299	695
220	4	16	789	107	250	-43	100	200	-172	-15	12	70	201	144	299	697
221	4	16	789	106	250	-44	100	200	-186	152	-2	70	201	143	299	700
222	4	16	789	106	249	-44	99	200	-176	65	12	70	200	143	298	703
223	4	16	785	107	248	-43	98	200	-162	-52	12	70	199	144	298	706
224	4	16	750	107	249	-43	99	200	-172	7	578	70	200	144	298	708
225	13	16	590	119	251	-31	101	200	-4	91	-135	93	205	146	298	711
