ts_ms,rel_s,alt_cmd,n_assoc,markers,kabsch_res,gt_x,gt_y,gt_z,est_x,est_y,est_z,cf2_x,cf2_y,cf2_z
308530916,3.117,0.78,6,ENENWSESWW,0.0014802303166181509,0.011599128446816074,-0.008560523808005097,0.7301980312699243,0.013180574455220855,0.011940614612463379,0.723205955118552,0.0002482457,-0.0004951205,0.7935863
308531024,3.225,0.78,6,ENENWSESWW,0.0013317095446021136,0.011832384712625427,-0.00859239959764318,0.7318656983588976,0.012122757966399078,0.008579293478010423,0.7252205318625728,0.0002317697,-0.0004907231,0.793204
308531131,3.332,0.78,6,ENENWSESWW,0.0013028167105246522,0.011986264806064427,-0.008615430014969653,0.7329606810541067,0.011991092510484483,0.009304294982946255,0.7261988502699569,0.000213292,-0.0004876501,0.7928161
308531237,3.438,0.78,6,ENENWSESWW,0.0014045251295066487,0.012156453982138516,-0.008643559341994633,0.7341534780153315,0.014222374341079501,0.009539133807929574,0.7277290632453285,0.0001959804,-0.0004876919,0.7924244
308531346,3.547,0.78,6,ENENWSESWW,0.0015142983607461732,0.012393024132800145,-0.008683215978222072,0.7357749383820268,0.012232174241593202,0.011201072291833914,0.7293648280264409,0.000183495,-0.000490758,0.7920503
308531450,3.651,0.78,4,ENESEW,0.001633572374971051,0.01254395434290333,-0.00870669666850859,0.7367869050430794,0.0139177436767121,0.008625602996198547,0.7305023486637333,0.0001785996,-0.0004929812,0.7918556
308531557,3.758,0.78,6,ENENWSESWW,0.0013160748964728152,0.012762522042473978,-0.008737719404892262,0.7382083571839223,0.012237871481768163,0.008185663724147384,0.7316431543559636,0.0001744989,-0.0004967815,0.7915308
308531665,3.866,0.78,6,ENENWSESWW,0.001091777022810572,0.013017100906292517,-0.008766556147508616,0.739831535300875,0.012731488639782833,0.009156173818875386,0.7334186990499965,0.0001760004,-0.0004985452,0.7911993
308531769,3.97,0.78,6,ENENWSESWW,0.002363708723779244,0.013235872669898249,-0.008787100248623362,0.7412346067203047,0.013967457279861555,0.005877671883686473,0.7338935308843026,0.0001803846,-0.0004962745,0.7908859
308531876,4.077,0.78,6,ENENWSESWW,0.0010161383691942383,0.01345704738085211,-0.008807815419205582,0.7426720860797725,0.019718869755488404,0.004224239586892869,0.7368525502657828,0.0001829077,-0.0004934988,0.7907204
308532090,4.291,0.78,4,ENWSWW,0.0012750978575771918,0.013887404154159918,-0.008860252296030371,0.7455566145681023,0.022920596657744444,0.015637952684298122,0.7390138993084129,0.0001921188,-0.0004808016,0.7900929
