t_ms,frame_seq,dx,dy,body_fw,body_left,pos_fw,pos_left,confidence
17427,481,0,0,0,0,20,2,244
17467,482,0,0,0,0,20,2,244
17511,483,0,0,0,0,20,2,248
17560,484,0,0,0,0,20,2,244
17607,485,0,0,0,0,20,2,244
17648,486,-1,0,1,0,21,2,248
17688,487,0,0,0,0,21,2,244
17733,488,-1,0,1,0,22,2,248
17779,489,0,0,0,0,22,2,248
17828,490,-1,0,1,0,23,2,248
17872,491,1,0,-1,0,22,2,244
17914,492,-1,0,1,0,23,2,244
17962,493,-1,0,1,0,24,2,248
18010,494,0,0,0,0,24,2,248
18054,495,0,0,0,0,24,2,248
18103,496,0,0,0,0,24,2,244
18144,497,0,0,0,0,24,2,248
18189,498,0,0,0,0,24,2,244
18229,499,0,0,0,0,24,2,248
18271,500,1,0,-1,0,23,2,248
18311,501,-1,0,1,0,24,2,248
18354,502,0,1,0,1,24,3,244
18402,503,0,0,0,0,24,3,244
18447,504,-1,0,1,0,25,3,248
18489,505,0,0,0,0,25,3,248
18532,506,0,1,0,1,25,4,244
18575,507,-1,0,1,0,26,4,248
18623,508,-1,0,1,0,27,4,244
18668,509,0,0,0,0,27,4,248
18710,510,-1,0,1,0,28,4,248
18750,511,-1,0,1,0,29,4,248
18792,512,0,0,0,0,29,4,248
18833,513,0,0,0,0,29,4,248
18876,514,0,0,0,0,29,4,248
18925,515,0,0,0,0,29,4,248
18965,516,1,0,-1,0,28,4,248
19011,517,1,0,-1,0,27,4,244
19055,518,1,0,-1,0,26,4,248
19102,519,1,0,-1,0,25,4,244
19152,520,0,0,0,0,25,4,248
19194,521,0,0,0,0,25,4,248
19238,522,0,0,0,0,25,4,244
19286,523,0,0,0,0,25,4,248
19332,524,0,0,0,0,25,4,248
19373,525,0,0,0,0,25,4,244
19415,526,0,0,0,0,25,4,244
19460,527,0,0,0,0,25,4,248
19511,528,0,0,0,0,25,4,248
19556,529,0,0,0,0,25,4,248
19599,530,0,0,0,0,25,4,248
19648,531,0,0,0,0,25,4,248
19694,532,1,0,-1,0,24,4,248
19734,533,0,0,0,0,24,4,248
19776,534,-1,0,1,0,25,4,248
19819,535,0,0,0,0,25,4,248
19866,536,1,0,-1,0,24,4,248
19916,537,0,0,0,0,24,4,248
19958,538,0,0,0,0,24,4,248
